Title|Author|Genre|Year|Status
Atomic Habits|James Clear|Self-Help|2018|Available
Dune|Frank Herbert|Sci-Fi|1965|Reading
Clean Code|Robert C. Martin|Programming|2008|Finished
The Pragmatic Programmer|Andrew Hunt & David Thomas|Programming|1999|Available
Sapiens|Yuval Noah Harari|History|2011|Reading
Educated|Tara Westover|Biography|2018|Finished
1984|George Orwell|Fiction|1949|Available
To Kill a Mockingbird|Harper Lee|Fiction|1960|Finished
The Martian|Andy Weir|Sci-Fi|2011|Available
Deep Work|Cal Newport|Self-Help|2016|Reading
Thinking, Fast and Slow|Daniel Kahneman|Non-Fiction|2011|Available
A Brief History of Time|Stephen Hawking|Non-Fiction|1988|Finished
Guns, Germs, and Steel|Jared Diamond|History|1997|Available
The Code Book|Simon Singh|Non-Fiction|1999|Available
The Alchemist|Paulo Coelho|Fiction|1988|Reading
Steve Jobs|Walter Isaacson|Biography|2011|Available
The Hobbit|J.R.R. Tolkien|Fiction|1937|Finished
Harry Potter and the Sorcerer's Stone|J.K. Rowling|Fiction|1997|Available
The Lean Startup|Eric Ries|Non-Fiction|2011|Reading
Introduction to Algorithms|Cormen, Leiserson, Rivest, Stein|Programming|2009|Available
Python Crash Course|Eric Matthes|Programming|2015|Finished
Eloquent JavaScript|Marijn Haverbeke|Programming|2018|Available
The Art of War|Sun Tzu|History|500|Available
Man's Search for Meaning|Viktor E. Frankl|Non-Fiction|1946|Finished
The Power of Habit|Charles Duhigg|Self-Help|2012|Available
The Subtle Art of Not Giving a F*ck|Mark Manson|Self-Help|2016|Available
The Great Gatsby|F. Scott Fitzgerald|Fiction|1925|Finished
Pride and Prejudice|Jane Austen|Fiction|1813|Available
The Catcher in the Rye|J.D. Salinger|Fiction|1951|Reading
The Name of the Wind|Patrick Rothfuss|Fiction|2007|Available
The Road|Cormac McCarthy|Fiction|2006|Available
The Design of Everyday Things|Don Norman|Non-Fiction|1988|Finished
Surely You're Joking, Mr. Feynman!|Richard Feynman|Biography|1985|Available
I, Robot|Isaac Asimov|Sci-Fi|1950|Finished
Neuromancer|William Gibson|Sci-Fi|1984|Available
Foundation|Isaac Asimov|Sci-Fi|1951|Reading
The Wright Brothers|David McCullough|Biography|2015|Available
Team of Rivals|Doris Kearns Goodwin|History|2005|Available
The Silk Roads|Peter Frankopan|History|2015|Finished
The Innovators|Walter Isaacson|Non-Fiction|2014|Available
Cracking the Coding Interview|Gayle Laakmann McDowell|Programming|2015|Reading
Head First Design Patterns|Eric Freeman & Elisabeth Robson|Programming|2004|Available
Zero to One|Peter Thiel|Non-Fiction|2014|Finished
The Diary of a Young Girl|Anne Frank|Biography|1947|Finished
The Psychology of Money|Morgan Housel|Non-Fiction|2020|Available
Rich Dad Poor Dad|Robert T. Kiyosaki|Non-Fiction|1997|Available
The 7 Habits of Highly Effective People|Stephen R. Covey|Self-Help|1989|Finished
Rework|Jason Fried & David Heinemeier Hansson|Non-Fiction|2010|Available
The Phoenix Project|Gene Kim, Kevin Behr, George Spafford|Programming|2013|Reading
The Little Prince|Antoine de Saint-Exupéry|Fiction|1943|Finished
The Art of Computer Programming|Donald E. Knuth|Programming|1968|Available
The Silent City (Vol. 4)|A. Rahman|Fiction|1971|Available
Mindful Focus (Vol. 2)|R. Hasan|Self-Help|1977|Reading
Everyday Economics (Vol. 9)|F. Hossain|Non-Fiction|1979|Reading
Everyday Economics (Vol. 7)|F. Hossain|Non-Fiction|2009|Finished
Mindful Focus (Vol. 7)|R. Hasan|Self-Help|1994|Finished
Empire Chronicles (Vol. 8)|N. Karim|History|1970|Available
Mindful Focus (Vol. 8)|R. Hasan|Self-Help|2009|Reading
Mindful Focus (Vol. 1)|R. Hasan|Self-Help|2008|Reading
Mindful Focus (Vol. 6)|R. Hasan|Self-Help|2014|Available
Miscellaneous Notes (Vol. 5)|Unknown|Other|1995|Finished
Mindful Focus (Vol. 3)|R. Hasan|Self-Help|1978|Reading
Mindful Focus (Vol. 1)|R. Hasan|Self-Help|1984|Available
Empire Chronicles (Vol. 9)|N. Karim|History|2021|Available
The Silent City (Vol. 2)|A. Rahman|Fiction|1995|Finished
Empire Chronicles (Vol. 1)|N. Karim|History|2000|Finished
Mindful Focus (Vol. 2)|R. Hasan|Self-Help|2022|Reading
The Silent City (Vol. 5)|A. Rahman|Fiction|2010|Finished
Mindful Focus (Vol. 2)|R. Hasan|Self-Help|2022|Finished
Everyday Economics (Vol. 9)|F. Hossain|Non-Fiction|1989|Finished
Miscellaneous Notes (Vol. 5)|Unknown|Other|1970|Reading
Life of a Pioneer (Vol. 4)|T. Islam|Biography|1989|Available
Life of a Pioneer (Vol. 1)|T. Islam|Biography|1953|Finished
Everyday Economics (Vol. 5)|F. Hossain|Non-Fiction|1959|Reading
Ocean of Stars (Vol. 5)|M. Chowdhury|Sci-Fi|1956|Reading
Empire Chronicles (Vol. 4)|N. Karim|History|1960|Finished
Mindful Focus (Vol. 3)|R. Hasan|Self-Help|1971|Available
Life of a Pioneer (Vol. 9)|T. Islam|Biography|1995|Reading
Empire Chronicles (Vol. 3)|N. Karim|History|1950|Finished
Life of a Pioneer (Vol. 5)|T. Islam|Biography|1985|Available
Learning Data Science (Vol. 8)|S. Ahmed|Programming|1979|Reading
Miscellaneous Notes (Vol. 2)|Unknown|Other|1958|Available
Learning Data Science (Vol. 7)|S. Ahmed|Programming|2017|Finished
Miscellaneous Notes (Vol. 7)|Unknown|Other|1990|Reading
Mindful Focus (Vol. 8)|R. Hasan|Self-Help|1991|Available
