LIBRARY REPORT
Generated: 2026-02-20 13:56:28
============================================================
Summary
------------------------------------------------------------
Total Books: 111
By Status:
  - Available: 45
  - Reading: 29
  - Finished: 37
By Genre:
  - Fiction: 17
  - Non-Fiction: 17
  - Sci-Fi: 8
  - Self-Help: 22
  - Programming: 16
  - History: 14
  - Biography: 11
  - Other: 6
============================================================
Book List (sorted by title)
------------------------------------------------------------
1984 | George Orwell | Fiction | 1949 | Available
A Brief History of Time | Stephen Hawking | Non-Fiction | 1988 | Finished
Atomic Habits | James Clear | Self-Help | 2018 | Available
Clean Code | Robert C. Martin | Programming | 2008 | Finished
Cracking the Coding Interview | Gayle Laakmann McDowell | Programming | 2015 | Reading
Deep Work | Cal Newport | Self-Help | 2016 | Reading
Dune | Frank Herbert | Sci-Fi | 1965 | Reading
Educated | Tara Westover | Biography | 2018 | Finished
Eloquent JavaScript | Marijn Haverbeke | Programming | 2018 | Available
Empire Chronicles (Vol. 1) | N. Karim | History | 2000 | Finished
Empire Chronicles (Vol. 3) | N. Karim | History | 1950 | Finished
Empire Chronicles (Vol. 4) | N. Karim | History | 1960 | Finished
Empire Chronicles (Vol. 4) | N. Karim | History | 1990 | Finished
Empire Chronicles (Vol. 7) | N. Karim | History | 1972 | Finished
Empire Chronicles (Vol. 8) | N. Karim | History | 1970 | Available
Empire Chronicles (Vol. 8) | N. Karim | History | 2017 | Finished
Empire Chronicles (Vol. 8) | N. Karim | History | 2004 | Finished
Empire Chronicles (Vol. 9) | N. Karim | History | 2021 | Available
Everyday Economics (Vol. 4) | F. Hossain | Non-Fiction | 2022 | Reading
Everyday Economics (Vol. 5) | F. Hossain | Non-Fiction | 1959 | Reading
Everyday Economics (Vol. 7) | F. Hossain | Non-Fiction | 2009 | Finished
Everyday Economics (Vol. 7) | F. Hossain | Non-Fiction | 1999 | Available
Everyday Economics (Vol. 9) | F. Hossain | Non-Fiction | 1979 | Reading
Everyday Economics (Vol. 9) | F. Hossain | Non-Fiction | 1989 | Finished
Foundation | Isaac Asimov | Sci-Fi | 1951 | Reading
Guns, Germs, and Steel | Jared Diamond | History | 1997 | Available
Harry Potter and the Sorcerer's Stone | J.K. Rowling | Fiction | 1997 | Available
Head First Design Patterns | Eric Freeman & Elisabeth Robson | Programming | 2004 | Available
I, Robot | Isaac Asimov | Sci-Fi | 1950 | Finished
Introduction to Algorithms | Cormen, Leiserson, Rivest, Stein | Programming | 2009 | Available
Learning Data Science (Vol. 3) | S. Ahmed | Programming | 1999 | Finished
Learning Data Science (Vol. 4) | S. Ahmed | Programming | 1990 | Reading
Learning Data Science (Vol. 4) | S. Ahmed | Programming | 1977 | Reading
Learning Data Science (Vol. 5) | S. Ahmed | Programming | 1977 | Available
Learning Data Science (Vol. 7) | S. Ahmed | Programming | 2017 | Finished
Learning Data Science (Vol. 7) | S. Ahmed | Programming | 1956 | Finished
Learning Data Science (Vol. 8) | S. Ahmed | Programming | 1979 | Reading
Life of a Pioneer (Vol. 1) | T. Islam | Biography | 1953 | Finished
Life of a Pioneer (Vol. 1) | T. Islam | Biography | 1986 | Finished
Life of a Pioneer (Vol. 3) | T. Islam | Biography | 1950 | Finished
Life of a Pioneer (Vol. 4) | T. Islam | Biography | 1989 | Available
Life of a Pioneer (Vol. 5) | T. Islam | Biography | 1985 | Available
Life of a Pioneer (Vol. 9) | T. Islam | Biography | 1995 | Reading
Man's Search for Meaning | Viktor E. Frankl | Non-Fiction | 1946 | Finished
Mindful Focus (Vol. 1) | R. Hasan | Self-Help | 2008 | Reading
